principal component 1,principal component 2,target
-10.603185776778474,3.043587465338377,yellow
-2.752567040466821,5.74605480402996,yellow
-10.358033539290226,3.1904451437609076,yellow
-10.545812851299516,3.210123599153573,yellow
-2.3512459882481407,6.833028768936142,yellow
-10.600358095206268,2.4878612832087073,yellow
-2.92657853320444,5.487822997482162,yellow
-3.1245044678692873,5.743284238517944,yellow
-9.816772697911643,3.01162500564846,yellow
-2.9621651337945956,5.895116397069753,yellow
-9.992093509612204,3.317869971336736,yellow
-9.812752814693365,3.055967037356221,yellow
-2.6622453172581353,5.7350388050161705,yellow
-10.018230775714688,3.1162754084734194,yellow
-2.4388687208892996,5.964777197371815,yellow
-3.1388924861285283,5.2466887859386855,yellow
-9.996758815213703,3.3969135835125153,yellow
-2.9859867420320736,5.917642398230825,yellow
-10.042659968128998,2.842331916761424,yellow
-9.973317067831086,3.0440134067888795,yellow
-3.6009398494713416,4.147909737861327,yellow
-9.980341960232263,3.1396218931851916,yellow
-2.729406148097402,5.3297840004446275,yellow
-2.538454343109294,5.267359824573921,yellow
-10.028386137244715,3.5427733545787845,yellow
-3.0618246724624805,5.582548168239818,yellow
-9.975204715145171,3.3756550084137666,yellow
-9.939703348845132,2.924853919629542,yellow
-3.301002128306918,5.67070983648386,yellow
-9.953185614843472,3.5250570700012345,yellow
-3.209074608146028,4.947536103965115,yellow
-3.265192655038713,5.778934777022645,yellow
-10.090218105962629,3.2770372589417556,yellow
-2.743292419636664,6.364686075763446,yellow
-10.12741956161711,3.1941683410231594,yellow
-10.28899397118228,3.3096495212534185,yellow
-3.489616645357439,5.433934951465701,yellow
-10.24532530138802,3.426347568435161,yellow
-3.3606672443085603,5.672774827496104,yellow
-2.7094625142931044,5.835905243275393,yellow
-10.039256697696526,3.1354554026459325,yellow
-3.2617662273473975,5.610975248818997,yellow
-10.199231970025764,2.7168283309756616,yellow
-10.196931695421046,2.792139416732811,yellow
-3.2184175979118574,5.855715209625858,yellow
-10.1400982522268,2.878278045722583,yellow
-3.2963992487377394,5.428382130637651,yellow
-3.451441842794222,5.4682409977931,yellow
-9.892350386915403,3.677023807160289,yellow
-3.6855478375444037,5.502118029998489,yellow
-9.725700372802635,3.816574707710998,yellow
-9.852345073155707,3.591274840739609,yellow
-3.368068466726352,6.030752449266653,yellow
-10.06551342440218,3.431182023985764,yellow
-3.027203567343516,5.818845983595821,yellow
-2.9409037705578283,6.028660008574937,yellow
-9.50741266743737,3.606648273172607,yellow
-3.1595794943356776,6.140139639967685,yellow
-9.876266893611414,3.074752279407519,yellow
-10.164098169023609,3.0720183009724535,yellow
-2.6819590547471535,5.6543214999451,yellow
-9.9529258929307,3.083141467248405,yellow
-3.414112337891078,5.015912140692807,yellow
-2.507631850989419,6.52692288690299,yellow
-9.780101675443653,3.520453823488343,yellow
-3.054833449156039,5.995750551598011,yellow
-9.70401873852975,3.5174011343390412,yellow
-10.029971683866396,3.7779513612753366,yellow
-2.9022229583830006,4.781554048049069,yellow
-10.136822715177576,3.4074600270952597,yellow
-3.3370786859639923,4.611757036138786,yellow
-3.095849621981652,4.964534390389062,yellow
-10.100875943844244,2.771162856309237,yellow
-2.6760832853827416,5.596027065426204,yellow
-9.877340132254815,3.489166877627896,yellow
-10.08903654059279,3.4430166055314704,yellow
-3.4079092112643066,4.829246773299047,yellow
-10.287768029134114,3.015890922195417,yellow
-3.0677777432050406,5.249019202074317,yellow
-3.219762883598771,4.279732183738853,yellow
-9.931150372586828,3.24580423245543,yellow
-2.894419163837478,5.475876720363368,yellow
-10.208945283011301,3.229792653796431,yellow
-9.978981092911578,3.3821229367905614,yellow
-2.5453637257467547,6.363623788643287,yellow
-10.136008022281686,2.9198145199759393,yellow
-2.56739326317346,5.7638570110169205,yellow
-2.490505747772241,5.87549328479152,yellow
-9.722565419360901,3.874093946716472,yellow
-2.764709288338736,6.063413109165747,yellow
-9.99390211893477,2.991637428113819,yellow
-10.273676023432106,3.3377386340520916,yellow
-3.377066019736428,5.429643345789225,yellow
-10.602649719812012,2.8786740140949028,yellow
-2.9865360230032074,5.62624172554061,yellow
-3.2028941662890125,5.345240026564053,yellow
-9.878217795870981,3.466151872734027,yellow
-2.8745018209671316,5.60967218436582,yellow
-9.962171519201272,3.2108968000092495,yellow
-9.785737594845369,3.576877039227085,yellow
-2.368113289147923,5.765942862794731,yellow
-9.881650434641807,3.18164364662739,yellow
-3.10936800898638,5.568955329343712,yellow
-3.0043192387415534,6.013148890478799,yellow
-9.979570250580238,3.3557103870439775,yellow
-2.5036773414301017,6.084631749898268,yellow
-10.537008945725404,2.9703408831916973,yellow
-10.423794050877714,2.9145809768180104,yellow
-3.6511798728103786,5.360659728312801,yellow
-10.524500840145947,3.2749805014034914,yellow
-3.0911187114948167,5.758604067953459,yellow
-3.245589109901135,5.631278238687708,yellow
-9.77072633681789,3.457962326246795,yellow
-3.030450888748576,6.12093535771403,yellow
-9.909695404118288,3.186040805359071,yellow
-10.495832342205524,2.731850229039844,yellow
-2.9768035157443324,5.4123946722204295,yellow
-10.535537697084354,2.81003344691608,yellow
-3.417489219028499,4.301672327144804,yellow
-3.1746814816357185,4.757401374484005,yellow
-10.102367547113833,2.594209327755868,yellow
-3.264827760319712,4.396860351379786,yellow
-9.937248790661684,3.1842448189932924,yellow
-9.939994078582487,3.6710942833806013,yellow
-3.2423396687424972,5.283188625195672,yellow
-9.82463883212155,3.9435715302274312,yellow
-3.103557125250682,5.34667154063058,yellow
-2.6820433788871134,5.669619142467146,yellow
-10.001098289299296,3.4980809832227404,yellow
-3.202128780946379,5.965564895683792,yellow
-9.758976451364582,3.7111210759542157,yellow
-9.628346161817152,4.1940311080697406,yellow
-2.5658760173060275,6.105104036676853,yellow
-9.839200681117893,3.724286997945747,yellow
-2.7222531549501863,6.137914381442268,yellow
-2.739541776567892,6.223368709054405,yellow
-9.863818459864028,3.558599878750157,yellow
-2.3916861068372217,6.427297978298814,yellow
-9.968809504592105,3.3550308726020677,yellow
-10.161123088952715,3.2853399869934945,yellow
-3.3223136419302723,5.091258110434591,yellow
-10.104204386018113,2.8917234341950366,yellow
-2.9822468784184895,5.2638788060858275,yellow
-2.9293694927864773,5.793339776272652,yellow
-9.809976539305175,3.596572326322984,yellow
-3.7200464264776176,5.109881398938128,yellow
-10.171565902836232,2.851201471778241,yellow
-10.185158298472317,3.3203337958029078,yellow
-2.65633633537613,5.477652854979661,yellow
-10.494424935874527,3.0662406415653027,yellow
-2.8751249084744703,5.356338326766048,yellow
-3.201067089542559,5.368552024832135,yellow
-10.45530336932459,3.174473295520915,yellow
-3.4157301383030014,4.732255259966548,yellow
-10.208881802630343,2.6900766592981595,yellow
-9.718402425458585,3.401414726442032,yellow
-2.733473150710347,5.342442021775417,yellow
-9.923449217812504,3.244789263029995,yellow
-3.013472229876415,5.555074595388223,yellow
-2.8391744758164954,5.3890560561082355,yellow
-9.91571435753729,3.916060872788041,yellow
-2.929050979258393,5.7426018495424875,yellow
-7.314245112793202,5.443358114012646,yellow
-7.372099166664237,5.507435032479593,yellow
2.468835865538391,10.793287768198587,yellow
-7.31711372008957,5.68422812492294,yellow
2.6683046867849702,11.551470873640323,yellow
1.388841656112872,9.9128259609681,yellow
-7.1124707524771145,5.802682899402868,yellow
1.8162777821519995,10.542220815372193,yellow
-7.143360090742265,5.626159818692561,yellow
-6.60524649347097,6.369534329086214,yellow
2.9663799581659354,11.140656340473535,yellow
-6.832775293382606,6.231946130066277,yellow
3.5815976922751336,11.771047612729905,yellow
4.102085721978894,12.69643079256826,yellow
-7.160550124687069,6.215026876384448,yellow
4.034391932322739,12.62442927622389,yellow
-7.288528037536832,6.432674970029204,yellow
-7.348587436809212,6.184106390128292,yellow
3.487169389058588,12.45011900485434,yellow
-7.817002474668904,5.5207301888620135,yellow
2.7401451086898065,11.394334276828559,yellow
2.5868011093978063,11.116723705059155,yellow
-7.59963693996228,6.2185317660088115,yellow
3.746543515683869,12.287392375593544,yellow
-7.258977748455658,6.243720926506375,yellow
-7.358098830313861,5.968334572018106,yellow
3.305849216096493,11.033207350531175,yellow
-7.754599105111703,6.263309996606769,yellow
2.744608131907427,9.091797349115158,yellow
2.737477406596636,10.1333318261419,yellow
-7.175704283488648,5.821931795225774,yellow
2.2730489297239,9.571276204368965,yellow
-7.163798730496441,6.596373022481494,yellow
-7.035217230397358,6.0577767284577675,yellow
2.679642223633019,11.04377159308427,yellow
-6.987136337851517,6.323090348818846,yellow
2.3884559388659334,10.655373368584636,yellow
3.3801416860562172,12.476592466265142,yellow
-7.389529227242901,6.296535400813517,yellow
3.3933063711388445,11.276201001517165,yellow
-7.474928726109131,5.744707272968473,yellow
-7.653387516267859,7.009942887201829,yellow
3.909520906809119,12.394427773113359,yellow
-7.033056354205563,6.152741691518116,yellow
3.266972346598971,11.442462239271055,yellow
2.900826963318707,11.73136861821774,yellow
-7.604335561703069,4.866028770188327,yellow
3.392957323752372,11.416058599945005,yellow
-7.604486373457866,6.177524152282269,yellow
-7.0659505753458705,6.879278844642553,yellow
4.499124762180404,14.021845660401606,yellow
-7.004243101467816,7.03326385280741,yellow
3.327907314451263,11.6292582812682,yellow
2.7855033771506736,11.874963478026206,yellow
-7.111967805109819,7.117092940332167,yellow
2.811604932497766,11.677827708303383,yellow
-7.47856557549594,6.608270087533747,yellow
-7.683890175223507,6.441915955885413,yellow
2.79275508788078,12.198770593181981,yellow
-7.434621669771035,6.344125442880312,yellow
4.071410090212513,13.591911596536807,yellow
2.8548659353318584,10.948232336886356,yellow
-7.659331868390995,6.198825240414634,yellow
2.6425348611240844,11.354939989548852,yellow
-7.577807613281343,6.323850175112678,yellow
-7.162534902629172,6.624951676773152,yellow
3.9712688138606778,12.553863782792142,yellow
-7.324548753232572,6.187578012179744,yellow
3.0346612128939157,11.07085817410204,yellow
3.1341958885424184,11.410279914503272,yellow
-7.384287923302275,6.407808675318821,yellow
3.0520022936061384,12.691194577619289,yellow
-7.381435347479826,6.588367304588201,yellow
-7.1000635229571545,6.404682899153482,yellow
2.5888590119571395,11.163298921188828,yellow
-6.988961075008989,6.455080316679847,yellow
2.538285160380859,11.411458108757653,yellow
2.4480929233521564,10.350190366344288,yellow
-7.334621491515986,6.190657254794608,yellow
2.7371892918210428,10.623103331525456,yellow
-7.257486072070298,5.980051896686354,yellow
-7.215536443591866,7.17279763390873,yellow
2.6437413412651622,11.229546807003185,yellow
-6.999979973248182,6.9563175312039665,yellow
2.129260136312337,10.373087468635038,yellow
2.4755536138093763,11.340273349316845,yellow
-7.127516037750945,6.8338671580227475,yellow
2.0487550754694865,10.747677765501674,yellow
-6.774857163224706,7.245503909073891,yellow
-7.040188662069999,6.641727917679438,yellow
2.531426827473198,10.63003415335169,yellow
-7.165247452409024,7.0539721597355065,yellow
2.1155644957130453,10.996932598536166,yellow
3.113766554006597,11.713831984251062,yellow
-6.947398221255249,6.664723907398757,yellow
2.814541900522308,11.624323037716257,yellow
-7.373507883996567,5.746901799799279,yellow
-7.375171945146749,5.497960688047621,yellow
2.8020384300696213,12.430638913026662,yellow
-7.356417775606161,5.357889252300323,yellow
2.969228574667036,12.76291438393093,yellow
2.910911038751595,12.000824876170299,yellow
-7.338893332304711,6.297731826683557,yellow
2.51384625937595,11.590693767431297,yellow
-7.553390210286561,5.767887270039704,yellow
-7.564932507789137,5.8624460139702785,yellow
1.7011452824434523,10.980675053327587,yellow
-7.587467212900661,6.253356270058489,yellow
3.637180254108479,12.314763437988727,yellow
2.305873346705003,10.24357229430118,yellow
-7.1470651407423595,6.2997918949554546,yellow
2.9732212319538838,11.54213226878697,yellow
-7.330246525529719,6.5237092242878285,yellow
-7.447277860931812,6.633765727511147,yellow
3.1435129302478404,11.77276974405159,yellow
-7.126155494178213,7.053417088090926,yellow
4.022562026795741,12.639841580091133,yellow
3.4185299915001144,11.99221088013407,yellow
-7.2573367324284455,6.36395563184065,yellow
2.9784390308375843,11.009217802921247,yellow
-7.173561649524874,6.97962812494677,yellow
-7.59286172457678,5.811566764375165,yellow
3.2847728679301005,11.17865787042929,yellow
-7.217068820184084,5.814768983681826,yellow
3.3726890371292852,10.175099832694698,yellow
3.203575093348319,10.777324184865325,yellow
-7.494615692544952,6.357678471726769,yellow
3.453455064601197,11.794074697014048,yellow
-7.173928455336029,6.11475063721526,yellow
-7.212639086219731,5.959018721673155,yellow
3.431160457254924,10.836885149186893,yellow
-7.188147299786202,5.999065776229884,yellow
3.4296343239925653,10.85205915853939,yellow
3.6470759427788844,12.270360099357942,yellow
-6.908053799151396,6.404626415272482,yellow
2.5026608673977773,10.709098393439806,yellow
-7.135545029861553,7.037654814592402,yellow
-7.4916229779301915,6.200992145939519,yellow
2.6505002635369754,10.976244590500988,yellow
-7.610336600802103,6.039868404397743,yellow
3.2338362412026074,11.91369635827329,yellow
2.679101593299938,10.32589470115382,yellow
-7.133323741549126,6.69224898634501,yellow
3.487202370056546,11.397140500435519,yellow
-7.6159802985471305,6.095186242687365,yellow
-7.760276205894318,5.8418122243370885,yellow
3.0787977184915514,11.416590046199293,yellow
-7.667806300041447,5.693769467132969,yellow
2.658445674855564,11.275189915750063,yellow
3.3065098594036773,13.06786354672829,yellow
-7.172576243831688,6.58156964219384,yellow
2.8760846820565638,12.091598800453909,yellow
-7.15678431864233,6.328181466308214,yellow
-7.023305779550157,6.924407518536395,yellow
3.460054416553076,13.867423848174901,yellow
-7.172136557024836,6.617409077068264,yellow
3.908467153771058,10.938113097398753,yellow
2.2185242697604712,10.295173119931883,yellow
-7.168708249201186,6.641432850115635,yellow
3.3419861789313323,11.684683664169563,yellow
-6.967610822122785,6.310325648903033,yellow
-7.38136207969859,6.532167867748387,yellow
2.6899517354255336,12.38311600777679,yellow
-7.272075911607441,6.01179231380888,yellow
1.979686508831643,10.770563450648595,yellow
2.65540156259536,12.035232199933038,yellow
-6.9816122635702715,6.436688531241964,yellow
2.878257452919244,13.0788707571619,yellow
-7.139563524510895,6.043452137441668,yellow
-6.8194300253507105,6.426127234024742,yellow
2.711736924391304,12.209497031390855,yellow
-7.150652012758968,6.24555215241816,yellow
3.1151131859940606,10.92618472103251,yellow
3.1315268925736772,11.32046022974714,yellow
-7.405420962986058,6.334831999553467,yellow
2.802240122358586,11.466950618261835,yellow
-7.337705307436618,7.150122322299987,yellow
-7.1891040100133745,6.7449941041236015,yellow
2.6916861313564677,11.052809692516202,yellow
-7.528257656493667,6.99049703025052,yellow
3.1160336737931047,12.690811709908527,yellow
2.6146083832492346,10.855806529657023,yellow
-7.614086725369407,5.564606454008901,yellow
3.4208191428664017,11.474298292707216,yellow
-7.290292801580511,5.865300461738725,yellow
-7.473199517323147,5.983238295218412,yellow
2.32700125213371,10.727645540610593,yellow
-7.237682920589123,6.292127457186672,yellow
3.0662741704300847,11.457646460100408,yellow
2.5065613824414203,12.095612497409896,yellow
-7.336942224527261,6.498427858794347,yellow
2.934267029441466,11.476205906988614,yellow
-7.442121886570605,5.484976794257843,yellow
-7.562910787090433,6.3282447020946675,yellow
3.191203926667056,11.076258389117971,yellow
-7.179664341735021,6.706461828788543,yellow
3.2969481061906185,10.719785432812536,yellow
2.613029362025803,10.090834001405547,yellow
-7.0452180383224725,6.346781056136015,yellow
2.472518649363217,10.6371857723304,yellow
-7.280692608675108,6.106440016030784,yellow
-7.365535278879326,5.539836478345158,yellow
2.018608825005961,10.295900375512366,yellow
-7.501086880681729,5.778337402994069,yellow
2.540099058747322,11.29409440883067,yellow
3.00738541122428,11.260230007342717,yellow
-6.808895076480587,6.717919226006749,yellow
2.4437860289128053,10.589597081152782,yellow
-6.774962387189152,6.251574240427857,yellow
-6.9535971272441115,6.027381131784141,yellow
2.5000867327915706,11.65579301456493,yellow
-7.130477650035089,6.42513724323299,yellow
1.5959579155988135,9.786377980203218,yellow
1.693419281168715,10.77005911447866,yellow
-7.1971507262381795,5.492347258004941,yellow
2.508692171797074,10.899640201939542,yellow
-7.087792184366809,5.602128326727333,yellow
